Cell_population,Cell2_population,relativeY,relativeI,Y,irate
1.4429e+11,1.2166e+08,0.84,100,1.229e+10,1e-14
1.3799e+11,7.4058e+08,1,100,1.229e+10,1e-14
1.2448e+11,1.5635e+09,1.19,100,1.229e+10,1e-14
1.1798e+11,1.7833e+09,1.41,100,1.229e+10,1e-14
1.4479e+11,6.4308e+07,0.71,100,1.229e+10,1e-14
1.422e+11,7.1918e+08,0.84,10,1.229e+10,1e-14
1.1425e+11,6.4163e+09,1,10,1.229e+10,1e-14
5.5411e+10,1.5065e+10,1.19,10,1.229e+10,1e-14
3.0425e+10,1.7362e+10,1.41,10,1.229e+10,1e-14
1.446e+11,1.6108e+08,0.71,10,1.229e+10,1e-14
1.369e+11,7.5715e+09,0.84,1,1.229e+10,1e-14
7.2031e+10,7.2031e+10,1,1,1.229e+10,1e-14
5.0433e+09,1.5381e+11,1.19,1,1.229e+10,1e-14
5.1204e+08,1.7339e+11,1.41,1,1.229e+10,1e-14
1.4374e+11,1.1089e+09,0.71,1,1.229e+10,1e-14
1.3283e+11,5.3682e+11,0.84,0.1,1.229e+10,1e-14
6.9874e+10,1.1073e+12,1,0.1,1.229e+10,1e-14
5.7825e+09,1.5674e+12,1.19,0.1,1.229e+10,1e-14
4.9262e+08,1.7381e+12,1.41,0.1,1.229e+10,1e-14
1.425e+11,2.8299e+11,0.71,0.1,1.229e+10,1e-14
1.3684e+11,1.1291e+13,0.84,0.01,1.229e+10,1e-14
9.4219e+10,1.3534e+13,1,0.01,1.229e+10,1e-14
1.1295e+10,1.5878e+13,1.19,0.01,1.229e+10,1e-14
4.4831e+08,1.7471e+13,1.41,0.01,1.229e+10,1e-14
1.4255e+11,9.7196e+12,0.71,0.01,1.229e+10,1e-14
