Cell_population,Cell2_population,relativecR,relativeI,cR,irate
8.4262e+11,5.02e+08,0.67,100,2.25e-14,1e-14
1.6007e+11,6.7326e+09,1,100,2.25e-14,1e-14
7.1877e+10,8.9911e+09,1.5,100,2.25e-14,1e-14
4.1879e+10,1.1325e+10,2.25,100,2.25e-14,1e-14
9.0318e+11,6.0908e+07,0.44,100,2.25e-14,1e-14
8.8508e+11,1.2062e+09,0.67,10,2.25e-14,1e-14
1.6682e+11,6.7529e+10,1,10,2.25e-14,1e-14
1.4504e+08,1.0102e+11,1.5,10,2.25e-14,1e-14
1.1048e+08,1.2705e+11,2.25,10,2.25e-14,1e-14
8.9841e+11,7.487e+07,0.44,10,2.25e-14,1e-14
8.9323e+11,2.1507e+09,0.67,1,2.25e-14,1e-14
4.4701e+11,4.4701e+11,1,1,2.25e-14,1e-14
2.243e+08,1.1263e+12,1.5,1,2.25e-14,1e-14
1.1121e+08,1.413e+12,2.25,1,2.25e-14,1e-14
8.9516e+11,1.4349e+08,0.44,1,2.25e-14,1e-14
8.9417e+11,6.9582e+09,0.67,0.1,2.25e-14,1e-14
7.6614e+11,1.6691e+12,1,0.1,2.25e-14,1e-14
9.4929e+08,1.2452e+13,1.5,0.1,2.25e-14,1e-14
1.143e+08,1.5577e+13,2.25,0.1,2.25e-14,1e-14
8.9451e+11,9.3881e+08,0.44,0.1,2.25e-14,1e-14
8.9446e+11,4.8253e+12,0.67,0.01,2.25e-14,1e-14
8.6519e+11,1.3797e+13,1,0.01,2.25e-14,1e-14
7.0803e+09,1.369e+14,1.5,0.01,2.25e-14,1e-14
9.2394e+07,1.7083e+14,2.25,0.01,2.25e-14,1e-14
8.9446e+11,1.8081e+12,0.44,0.01,2.25e-14,1e-14
